ds,y,yhat,residual,Z_Residual
2025-03-25,986.5899999999999,4073.363792681692,-3086.7737926816917,-1.8473506232895518
2025-03-26,1077.56,4246.373212939658,-3168.8132129396577,-1.8964566606272044
2025-03-27,987.1899999999999,4073.0785216107815,-3085.8885216107815,-1.8468207298051103
2025-03-28,622.3,3685.668795124555,-3063.3687951245547,-1.8333411790453766
2025-03-29,1003.5699999999999,3246.7402847047274,-2243.1702847047272,-1.3423979404130661
2025-03-30,1009.59,920.978330338366,88.61166966163398,0.05332830136593408
2025-03-31,855.91,268.656520306301,587.253479693699,0.3517985156184732
2025-04-01,551.76,2401.4210845103225,-1849.6610845103226,-1.1068565699756039
2025-04-02,780.59,2762.477982907419,-1981.887982907419,-1.1860031435290574
2025-04-03,554.22,2779.9360966414224,-2225.716096641422,-1.33195045055953
2025-04-04,304.24,2583.3704327776945,-2279.1304327776943,-1.3639224754278922
2025-04-05,331.7,2332.949030649777,-2001.2490306497768,-1.1975920154438366
2025-04-06,521.5,191.14587435395651,330.3541256460435,0.1980272038245184
2025-04-07,977.1199999999999,-283.7354510202781,1260.855451020278,0.7549939971402659
2025-04-08,6652.91,2018.2404687485434,4634.669531251457,2.7744456177536265
2025-04-09,3357.93,2538.839146587572,819.0908534124278,0.49056856901837825
2025-04-10,3379.43,2705.0040803745205,674.4259196254793,0.4039770058691844
2025-04-11,3365.54,2645.418482699576,720.1215173004239,0.4313288535362733
2025-04-12,3363.24,2519.6249901208275,843.6150098791722,0.505247904139758
2025-04-13,962.8,489.7262193075894,473.07378069241054,0.2834543885545723
2025-04-14,875.71,113.8915640086584,761.8184359913416,0.4562872264704415
2025-04-15,2119.53,2502.138790066444,-382.6087900664438,-0.22872841498959015
2025-04-16,2705.08,3096.5086754838335,-391.42867548383356,-0.23400770171855875
2025-04-17,3125.48,3324.387061265168,-198.90706126516807,-0.11877073945822463
2025-04-18,2714.56,3315.0394145124915,-600.4794145124915,-0.3591384420861241
2025-04-19,3336.84,3228.702692404635,108.1373075953652,0.06501569143281095
2025-04-20,735.9100000000001,1228.2582595578265,-492.3482595578264,-0.2944147700285844
2025-04-21,978.1800000000001,872.7118773178927,105.46812268210738,0.06341800712934575
2025-04-22,4264.49,3272.9499552842462,991.5400447157535,0.5937908541145095
2025-04-23,4452.59,3871.890846474191,580.6991535258089,0.34787531644773906
2025-04-24,8352.19,4097.786004167498,4254.403995832503,2.546831459562493
2025-04-25,5414.2300000000005,4080.73637134293,1333.4936286570705,0.7984727668823646
2025-04-26,5551.69,3981.7691593008703,1569.9208406991293,0.9399901431103748
2025-04-27,1692.87,1964.4987596191881,-271.62875961918826,-0.1622995018921994
2025-04-28,4690.49,1588.5979016425797,3101.89209835742,1.856976605742938
2025-04-29,3567.3999999999996,3965.5481609459607,-398.1481609459611,-0.2380297596872218
2025-04-30,1009.4100000000001,4538.7884450447555,-3529.3784450447556,-2.1122788799302845
2025-05-01,439.12,4737.016038207764,-4297.896038207764,-2.572287659927009
2025-05-02,530.86,4690.70527952498,-4159.8452795249805,-2.4896551195086145
2025-05-03,540.6700000000001,4561.18868256192,-4020.5186825619203,-2.4062589052120886
2025-05-04,617.64,2512.323857049544,-1894.6838570495443,-1.1338056871488325
2025-05-05,843.3,2103.9719402579767,-1260.6719402579768,-0.7543074805478385
2025-05-06,3474.98,4447.756234448648,-972.7762344486478,-0.5819827952396193
2025-05-07,5932.110000000001,4987.219272303801,944.8907276962,0.5658681421287949
2025-05-08,4426.36,5151.132513940707,-724.7725139407075,-0.433536110452654
2025-05-09,6155.26,5070.023400608125,1085.2365993918756,0.6498744599940658
2025-05-10,7902.11,4905.264268907777,2996.845731092223,1.794099383830724
2025-05-11,5787.92,2820.7462315782773,2967.173768421723,1.7763387450768495
2025-05-12,2435.56,2376.3635353396394,59.19646466036056,0.035721349116085904
2025-05-13,8252.04,4683.776953878115,3568.263046121886,2.136130567364144
2025-05-14,5272.96,5186.574361602239,86.38563839776089,0.05199587393025971
2025-05-15,5004.61,5313.582674909334,-308.9726749093343,-0.18465231341629082
2025-05-16,6305.68,5195.3959261735,1110.2840738265004,0.6648670356477333
2025-05-17,5525.12,4993.464065948105,531.6559340518952,0.31851969497854854
2025-05-18,2789.5899999999997,2871.765736098039,-82.17573609803912,-0.04889929480264038
2025-05-19,3823.15,2390.2906970956938,1432.8593029043063,0.8579497170402611
2025-05-20,6891.5,4660.800668435107,2230.6993315648933,1.3355099205824879
2025-05-21,5886.68,5126.986945791459,759.6930542085411,0.45501504442850615
2025-05-22,5291.43,5217.779206576536,73.65079342346417,0.044373224101303746
2025-05-23,3280.51,5063.870493413532,-1783.360493413532,-1.0671712663536381
2025-05-24,3110.3500000000004,4826.803178351761,-1716.4531783517605,-1.0271227981751174
2025-05-25,1521.4,2670.6393424162393,-1149.2393424162392,-0.6876076758314996
2025-05-26,1709.3000000000002,2155.4414124012737,-446.14141240127356,-0.26675690561913223
2025-05-27,3832.92,4393.031938820124,-560.1119388201241,-0.33497582901129935
2025-05-28,3809.77,4827.150963158429,-1017.3809631584286,-0.6086816854386352
2025-05-29,3959.04,4886.76542751737,-927.72542751737,-0.5550168976223224
2025-05-30,3662.64,4702.595611328422,-1039.955611328422,-0.622194110470825
2025-05-31,1861.89,4436.203353106882,-2574.3133531068816,-1.5406090422215537
2025-06-01,1612.29,2251.6653996561267,-639.3753996561268,-0.38242027041623916
2025-06-02,1654.14,1709.0575982994567,-54.917598299456586,-0.032583490421244844
2025-06-03,3020.55,3920.218657024556,-899.6686570245556,-0.5382230585744372
2025-06-04,5797.0,4328.91173280876,1468.0882671912404,0.8790365900362102
2025-06-05,5747.82,4364.138099609002,1383.6819003909977,0.8285137781173162
2025-06-06,6251.33,4156.667666272754,2094.662333727246,1.2540827496674298
2025-06-07,4014.07,3868.1308885272742,145.93911147272593,0.08764257966282679
2025-06-08,3007.1,1662.6952116410228,1344.4047883589772,0.8050038200520984
2025-06-09,1672.49,1100.5515706440578,571.9384293559422,0.34263144165148124
2025-06-10,1782.3500000000001,3293.6795082164704,-1511.3295082164702,-0.9043426691490131
2025-06-11,5895.9400000000005,3686.0090408931273,2209.930959106873,1.3230786714322749
2025-06-12,3533.34,3706.7334299843133,-173.39342998431312,-0.10349913799691239
2025-06-13,2100.32,3486.8375783763004,-1386.5175783763002,-0.829634446350221
2025-06-14,1919.13,3188.1865934427974,-1269.0565934427973,-0.7593262519026627
2025-06-15,947.61,975.1976963706961,-27.587696370696108,-0.016224730445515013
2025-06-16,874.59,408.32109660443757,466.26890339556246,0.27938121790604226
2025-06-17,2857.9500000000003,2599.7985279409886,258.15147205901167,0.15480912412851885
2025-06-18,3276.1100000000006,2993.8177556605115,282.2922443394891,0.1692589783722144
2025-06-19,2250.2400000000002,3019.8174259655825,-769.5774259655823,-0.46035482365035113
2025-06-20,3697.15,2809.007223541479,888.142776458521,0.5319007273963369
2025-06-21,3695.8399999999997,2523.448143625847,1172.3918563741527,0.7020426651092015
2025-06-22,801.85,327.71633836315095,474.13366163684907,0.2840887976358092
2025-06-23,730.99,-217.62356173068565,948.6135617306857,0.5680965053537482
2025-06-24,3295.1899999999996,1999.7333218749025,1295.4566781250971,0.7757051277747228
2025-06-25,1201.8600000000001,2423.980902645078,-1222.1209026450779,-0.7312321262063328
2025-06-26,984.11,2484.5025385050058,-1500.3925385050056,-0.8977961669757507
2025-06-27,1174.87,2312.388230890785,-1137.5182308907852,-0.680591812745219
2025-06-28,1110.67,2069.5135749998,-958.8435749997998,-0.5736431739580867
2025-06-29,174.93,-79.79596739945327,254.72596739945328,0.1527587322658796
2025-06-30,319.58000000000004,-575.2895173317456,894.8695173317457,0.5359271282100263
2025-07-01,1345.05,1694.9650217156295,-349.91502171562956,-0.20915902500249117
2025-07-02,1538.0700000000002,2174.735523660561,-636.6655236605607,-0.38079822979966427
2025-07-03,1801.85,2292.9334473763065,-491.0834473763066,-0.2936576960022745
2025-07-04,1803.29,2180.1398851025147,-376.8498851025147,-0.22528132819529706
2025-07-05,1814.17,1997.6945922596196,-183.52459225961957,-0.10956331094451081
